subject,type,questionText,options,correctAnswer,difficulty
Math,choice,"2+2=?","2|3|4|5",4,1
Math,blank,"5+______=10",,5,1
Math,choice,"3*3=?","6|7|8|9",9,1
Math,blank,"10-______=5",,5,1
Math,choice,"10/2=?","4|5|6|7",5,1
Math,blank,"15-______=10",,5,1
Math,choice,"1+1=?","1|2|3|4",2,1
Math,blank,"8-______=3",,5,1
Math,choice,"6/3=?","1|2|3|4",2,1
Math,blank,"12-______=7",,5,1
Math,choice,"2*2=?","2|3|4|5",4,1
Math,blank,"9-______=4",,5,1
Math,choice,"5+3=?","6|7|8|9",8,1
Math,blank,"7-______=2",,5,1
Math,choice,"8/4=?","1|2|3|4",2,1
Math,blank,"14-______=9",,5,1
Math,choice,"9-3=?","3|4|5|6",6,1
Math,blank,"11-______=6",,5,1
Math,choice,"7+2=?","7|8|9|10",9,1
Math,blank,"6-______=1",,5,1
Math,choice,"15/3=?","3|4|5|6",5,2
Math,blank,"20-______=10",,10,2
Math,choice,"4*4=?","12|14|16|18",16,2
Math,blank,"25-______=15",,10,2
Math,choice,"6*3=?","16|18|20|22",18,2
Math,blank,"30-______=20",,10,2
Math,choice,"8+7=?","13|14|15|16",15,2
Math,blank,"35-______=25",,10,2
Math,choice,"9*2=?","16|18|20|22",18,2
Math,blank,"40-______=30",,10,2
Math,choice,"10-4=?","5|6|7|8",6,2
Math,blank,"45-______=35",,10,2
Math,choice,"12/4=?","2|3|4|5",3,2
Math,blank,"50-______=40",,10,2
Math,choice,"14+3=?","16|17|18|19",17,2
Math,blank,"55-______=45",,10,2
Math,choice,"15-5=?","7|8|9|10",10,2
Math,blank,"60-______=50",,10,2
Math,choice,"20/4=?","3|4|5|6",5,2
Math,blank,"65-______=55",,10,2
Math,choice,"25-10=?","13|14|15|16",15,2
Math,blank,"70-______=60",,10,2
Math,choice,"30/5=?","4|5|6|7",6,2
Math,blank,"75-______=65",,10,2
Math,choice,"35-15=?","18|19|20|21",20,2
Math,blank,"80-______=70",,10,2
Math,choice,"圆的面积公式是 π × r^______",,2,3
Math,choice,"以下哪个是质数？","2|6|11|15",11,3
Math,choice,"3^4 的值是多少？","81|27|12|64",81,3
Math,choice,"如果 x = 3 且 y = 5，那么 2x + 3y 的值是多少？","21|25|29|33",29,3
Math,choice,"以下哪个是一个四边形？","Circle|Triangle|Rectangle|Sphere",Rectangle,3
Math,blank,"三角形的内角和是______度。",,180,3
Math,blank,"π（圆周率）的两位小数值是______。",,3.14,3
Math,blank,"49的平方根是______。",,7,3
Math,blank,"如果 a = 5 且 b = 3，那么 a^2 + b^2 等于______。",,34,3

History,choice,"美国的第一任总统是谁？","Washington|Lincoln|Jefferson|Adams",Washington,1
History,blank,"1776年之所以重要是因为______。",,《独立宣言》,1
History,choice,"谁发现了美洲？","Columbus|Vespucci|Magellan|Cook",Columbus,1
History,blank,"罗马帝国在公元______年灭亡。",,476,1
History,choice,"谁被称为奥尔良的少女？","Joan of Arc|Catherine|Elizabeth|Marie",Joan of Arc,1
History,blank,"《大宪章》在______年签署。",,1215,1
History,choice,"二战期间的英国首相是谁？","Churchill|Attlee|Thatcher|Blair",Churchill,1
History,blank,"拿破仑被流放到______岛。",,Elba,1
History,choice,"第一个登上月球的人是谁？","Armstrong|Aldrin|Glenn|Gagarin",Armstrong,1
History,blank,"黑斯廷斯战役发生在______年。",,1066,1
History,choice,"谁写了《伊利亚特》和《奥德赛》？","Homer|Virgil|Ovid|Sophocles",Homer,1
History,blank,"柏林墙倒塌于______年。",,1989,1
History,choice,"中国的第一个皇帝是谁？","Qin Shi Huang|Han Gaozu|Wu Zetian|Tang Taizong",Qin Shi Huang,1
History,blank,"泰坦尼克号沉没于______年。",,1912,1
History,choice,"谁发现了青霉素？","Fleming|Pasteur|Salk|Jenner",Fleming,1
History,blank,"工业革命始于______年。",,1760,1
History,choice,"二战期间苏联的领导人是谁？","Stalin|Lenin|Khrushchev|Brezhnev",Stalin,1
History,blank,"大萧条始于______年。",,1929,1
History,choice,"英国的第一位女性首相是谁？","Thatcher|May|Merkel|Clinton",Thatcher,1
History,blank,"美国内战于______年结束。",,1865,1
History,choice,"被称为铁娘子的是谁？","Thatcher|Clinton|May|Merkel",Thatcher,2
History,blank,"法国大革命始于______年。",,1789,2
History,choice,"美国第一位非洲裔总统是谁？","Obama|Bush|Clinton|Lincoln",Obama,2
History,blank,"柏林墙建于______年。",,1961,2
History,choice,"蒙古帝国的创始人是谁？","Genghis Khan|Kublai Khan|Timur|Babur",Genghis Khan,2
History,blank,"第一个绕地球轨道飞行的人是______。",,Gagarin,2
History,choice,"第一位独自飞越大西洋的女性是谁？","Earhart|Johnson|Bach|Blair",Earhart,2
History,blank,"莱特兄弟在______年首次飞行飞机。",,1903,2
History,choice,"《共产党宣言》是谁写的？","Marx|Engels|Lenin|Stalin",Marx,2
History,blank,"《凡尔赛和约》签署于______年。",,1919,2
History,choice,"英国在位时间最长的君主是谁？","Elizabeth II|Victoria|George III|Henry VIII",Elizabeth II,2
History,blank,"美国内战始于______年。",,1861,2
History,choice,"美国独立战争期间的英国国王是谁？","George III|Henry VIII|Edward I|Richard III",George III,2
History,blank,"《独立宣言》签署于______年。",,1776,2
History,choice,"发现万有引力定律的是谁？","Newton|Galileo|Kepler|Einstein",Newton,2
History,blank,"滑铁卢战役发生在______年。",,1815,2
History,choice,"南非第一位总统是谁？","Mandela|Mbeki|Zuma|De Klerk",Mandela,2
History,blank,"黑死病发生在______年。",,1347,2
History,choice,"印度独立运动的领袖是谁？","Gandhi|Nehru|Patel|Jinnah",Gandhi,2
History,blank,"俄国革命始于______年。",,1917,2
History,choice,"罗马的第一位皇帝是谁？","Augustus|Julius Caesar|Nero|Caligula",Augustus,2
History,blank,"文艺复兴始于______世纪。",,14,2
History,blank,"美国内战是在______和______之间进行的。",,北方和南方,3
History,blank,"文艺复兴时期始于______世纪。",,14,3
History,blank,"吉萨金字塔是在______建造的。",,埃及,3
History,blank,"第一次世界大战始于______年。",,1914,3
History,blank,"罗马帝国的衰落发生在______年。",,476,3
History,choice,"美国的第一任总统是谁？","George Washington|Thomas Jefferson|Abraham Lincoln|John Adams",George Washington,3
History,choice,"建造中国长城的古代文明是？","Egyptians|Romans|Greeks|Chinese",Chinese,3
History,choice,"第二次世界大战结束于哪一年？","1939|1941|1945|1948",1945,3
History,choice,"哪个事件标志着法国大革命的开始？","Storming of the Bastille|Reign of Terror|Napoleonic Wars|Treaty of Versailles",Storming of the Bastille,3
History,choice,"二战期间苏联的领导人是谁？","Joseph Stalin|Vladimir Lenin|Nikita Khrushchev|Mikhail Gorbachev",Joseph Stalin,3

Science,choice,"水的化学符号是什么？","H2O|CO2|O2|H2",H2O,1
Science,blank,"地球围绕什么旋转？",,太阳,1
Science,choice,"光速是多少？","299792 km/s|150000 km/s|108000 km/s|384400 km/s",299792 km/s,1
Science,blank,"植物通过什么将阳光转化为能量？",,光合作用,1
Science,choice,"水的沸点是多少摄氏度？","100°C|90°C|80°C|110°C",100°C,1
Science,blank,"人体有多少块骨头？",,206,1
Science,choice,"盐的化学式是什么？","NaCl|KCl|MgCl2|CaCl2",NaCl,1
Science,blank,"地球大气中的主要气体是什么？",,氮气,1
Science,choice,"哪个星球被称为红色星球？","Mars|Venus|Jupiter|Saturn",Mars,1
Science,blank,"细胞分裂的过程被称为什么？",,有丝分裂,1
Science,choice,"宇宙中最丰富的元素是什么？","Hydrogen|Oxygen|Carbon|Helium",Hydrogen,1
Science,blank,"水在多少摄氏度下结冰？",,0,1
Science,choice,"人体最大的器官是什么？","Skin|Liver|Heart|Lungs",Skin,1
Science,blank,"让我们留在地面上的力叫什么？",,重力,1
Science,choice,"生命的基本单位是什么？","Cell|Atom|Molecule|Organ",Cell,1
Science,blank,"植物制造食物的过程叫什么？",,光合作用,1
